epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,202.529,0.92488,1.28686,1.12561,0.8195,0.87042,0.89789,0.57504,1.32941,0.9478,1.22668,9.9161e-05,9.9161e-05,9.9161e-05
9,227.732,0.87778,1.22681,1.10199,0.83923,0.86588,0.90414,0.53766,1.49801,0.96763,1.32953,6.7184e-05,6.7184e-05,6.7184e-05
10,253.407,0.86373,1.18039,1.10488,0.8481,0.88785,0.91641,0.57258,1.39134,0.90328,1.25267,3.5207e-05,3.5207e-05,3.5207e-05
1,25.4795,1.21188,4.3764,1.33908,0.03126,0.69601,0.13064,0.07159,1.23286,3.82172,1.23588,0.000106545,0.000106545,0.000106545
2,50.1891,1.04226,3.4583,1.21313,0.40859,0.41723,0.39571,0.25356,1.25034,2.21661,1.22611,0.000193005,0.000193005,0.000193005
3,74.7934,1.05883,2.6381,1.24729,0.64608,0.61785,0.669,0.36669,1.5489,1.67876,1.41919,0.000258147,0.000258147,0.000258147
4,99.2942,1.04212,2.07591,1.23763,0.77496,0.68859,0.78313,0.4526,1.52319,1.40448,1.32367,0.000227069,0.000227069,0.000227069
5,123.995,1.00086,1.74465,1.19906,0.78871,0.7103,0.81735,0.4977,1.37729,1.2195,1.2843,0.000195092,0.000195092,0.000195092
6,148.679,0.9819,1.5733,1.17941,0.82644,0.81053,0.8735,0.52776,1.49292,1.12583,1.31944,0.000163115,0.000163115,0.000163115
7,173.418,0.93166,1.37004,1.14947,0.81846,0.86717,0.88185,0.55163,1.39226,1.00581,1.26464,0.000131138,0.000131138,0.000131138
8,198.558,0.92488,1.28686,1.12561,0.8195,0.87042,0.89789,0.57504,1.32941,0.9478,1.22668,9.9161e-05,9.9161e-05,9.9161e-05
9,223.358,0.87778,1.22681,1.10199,0.83923,0.86588,0.90414,0.53766,1.49801,0.96763,1.32953,6.7184e-05,6.7184e-05,6.7184e-05
10,247.903,0.86373,1.18039,1.10488,0.8481,0.88785,0.91641,0.57258,1.39134,0.90328,1.25267,3.5207e-05,3.5207e-05,3.5207e-05
1,24.7005,1.26292,4.13665,1.39729,0.4389,0.26047,0.18709,0.10228,1.46346,2.94434,1.39664,0.000106545,0.000106545,0.000106545
1,24.4666,1.26292,4.13665,1.39729,0.4389,0.26047,0.18709,0.10228,1.46346,2.94434,1.39664,0.000106545,0.000106545,0.000106545
2,49.0224,1.08822,2.83085,1.28156,0.52982,0.49428,0.5235,0.32046,1.30679,1.81143,1.28299,0.000193005,0.000193005,0.000193005
3,73.562,1.0618,2.1825,1.26731,0.61471,0.61359,0.6834,0.38126,1.52662,1.67878,1.4263,0.000258147,0.000258147,0.000258147
4,97.6536,1.02815,1.86156,1.2343,0.70535,0.80009,0.83108,0.5252,1.33139,1.28616,1.29522,0.000227069,0.000227069,0.000227069
5,122.069,0.99418,1.60749,1.20478,0.73623,0.81233,0.85242,0.5176,1.41219,1.22022,1.33154,0.000195092,0.000195092,0.000195092
6,146.225,0.96912,1.47394,1.19,0.78506,0.86006,0.87595,0.51847,1.49224,1.07319,1.36144,0.000163115,0.000163115,0.000163115
7,170.464,0.93931,1.31795,1.16683,0.83138,0.81431,0.88488,0.54771,1.41703,1.00817,1.31228,0.000131138,0.000131138,0.000131138
8,194.593,0.93129,1.24853,1.1375,0.81039,0.88016,0.91898,0.57255,1.41303,0.96975,1.31531,9.9161e-05,9.9161e-05,9.9161e-05
9,218.476,0.8975,1.15658,1.11734,0.85162,0.86241,0.92657,0.55291,1.49748,0.94534,1.37372,6.7184e-05,6.7184e-05,6.7184e-05
10,242.293,0.89178,1.14344,1.13,0.85277,0.87551,0.92856,0.57136,1.43583,0.91188,1.31991,3.5207e-05,3.5207e-05,3.5207e-05
1,24.4063,0.88892,1.18005,1.10762,0.83874,0.88487,0.92184,0.55707,1.44347,0.97008,1.33499,0.000106545,0.000106545,0.000106545
2,48.3463,0.88606,1.15066,1.10217,0.78854,0.88489,0.89232,0.58033,1.29342,0.96837,1.25826,0.000193005,0.000193005,0.000193005
3,72.473,0.88815,1.14012,1.11253,0.78001,0.82981,0.89426,0.50656,1.55006,1.10204,1.42284,0.000258147,0.000258147,0.000258147
4,96.7834,0.88375,1.13264,1.11803,0.84303,0.89119,0.92231,0.56274,1.43716,0.93041,1.32985,0.000227069,0.000227069,0.000227069
5,121.494,0.85758,1.03526,1.09772,0.84574,0.83265,0.90521,0.55759,1.43117,0.9714,1.34355,0.000195092,0.000195092,0.000195092
6,145.826,0.85114,0.98101,1.09905,0.83813,0.89498,0.91891,0.58075,1.38237,0.90943,1.29702,0.000163115,0.000163115,0.000163115
7,169.69,0.81967,0.91345,1.08325,0.8178,0.88499,0.91557,0.57252,1.43155,0.84888,1.34776,0.000131138,0.000131138,0.000131138
8,193.481,0.81436,0.90007,1.06069,0.84773,0.89006,0.92627,0.5735,1.41563,0.85049,1.32932,9.9161e-05,9.9161e-05,9.9161e-05
9,217.323,0.80664,0.87991,1.05774,0.87938,0.85988,0.92514,0.54538,1.52036,0.89009,1.39633,6.7184e-05,6.7184e-05,6.7184e-05
10,241.137,0.80258,0.87184,1.0673,0.8662,0.89045,0.92455,0.57227,1.42773,0.84032,1.32829,3.5207e-05,3.5207e-05,3.5207e-05
1,24.5896,0.78892,0.8927,1.04673,0.84653,0.8857,0.92935,0.5569,1.48572,0.88575,1.37519,0.000106545,0.000106545,0.000106545
2,48.4758,0.74874,0.84639,1.02307,0.82239,0.87324,0.90585,0.60676,1.23589,0.8732,1.22802,0.000193005,0.000193005,0.000193005
3,72.3095,0.75613,0.85629,1.03726,0.83306,0.82837,0.91553,0.52448,1.52561,0.94139,1.45981,0.000258147,0.000258147,0.000258147
4,96.1692,0.76299,0.88131,1.04735,0.85964,0.86701,0.90472,0.57214,1.39641,0.90612,1.32989,0.000227069,0.000227069,0.000227069
5,120.108,0.7464,0.8161,1.03297,0.80643,0.89155,0.90424,0.58012,1.33925,0.90247,1.30477,0.000195092,0.000195092,0.000195092
6,144.239,0.75005,0.80479,1.03874,0.85466,0.89988,0.92646,0.577,1.40891,0.85649,1.33929,0.000163115,0.000163115,0.000163115
7,168.35,0.77025,0.79672,1.05364,0.84216,0.88222,0.92816,0.58869,1.42609,0.84205,1.36187,0.000131138,0.000131138,0.000131138
8,192.22,0.76565,0.77838,1.0315,0.86388,0.8613,0.91833,0.6043,1.30117,0.81941,1.26422,9.9161e-05,9.9161e-05,9.9161e-05
9,216.11,0.75586,0.75181,1.03171,0.83988,0.90292,0.92932,0.5769,1.41931,0.81667,1.33117,6.7184e-05,6.7184e-05,6.7184e-05
10,239.822,0.75409,0.75273,1.03986,0.85546,0.88739,0.92954,0.6038,1.355,0.79338,1.28947,3.5207e-05,3.5207e-05,3.5207e-05
